CompanyName,BusinessId,City,CompanyForm,Address,RegistrationDate
FBG CARS Oy,3109356-1,Helsinki,Osakeyhtiö (OY),"Sompiontie, 1, 00730, HELSINGFORS",2020-01-10
Henkilöstöpartneri Vertico 7 Oy,3109368-4,Helsinki,Osakeyhtiö (OY),"Palkkatilanportti, 1, 00240, HELSINGFORS",2020-02-03
SauceSoft Oy,3109403-8,Helsinki,Osakeyhtiö (OY),"Kalevankatu, 28, 00100, HELSINGFORS",2020-01-30
V & V Holidays Oy,3109411-8,Helsinki,Osakeyhtiö (OY),"Yliskylän Puistokatu, 11, 00840, HELSINGFORS",2020-01-14
1703 Ijaz Oy,3109425-7,Helsinki,Osakeyhtiö (OY),"Viides linja, 10, 00530, HELSINGFORS",2020-01-10
Concept Media Oy,3109468-7,Helsinki,Osakeyhtiö (OY),"Vuorikatu, 16, 00100, HELSINGFORS",2020-01-13
Artillery Oy,3109478-3,Helsinki,Osakeyhtiö (OY),"Urheilukatu, 16, 00250, HELSINGFORS",2020-01-13
Maalauspalvelut J. Montén Oy,3109513-7,Helsinki,Osakeyhtiö (OY),"Hietakummuntie, 14, 00700, HELSINGFORS",2020-01-10
Nostalgiatalo Oy,3109516-1,Helsinki,Osakeyhtiö (OY),"Korkeavuorenkatu, 4, 00150, HELSINGFORS",2020-01-17
YZplanet Oy,3109519-6,Helsinki,Osakeyhtiö (OY),"Ala-Malmin raitti, 16, 00700, HELSINGFORS",2020-01-28
Instaglamour Entertainment Oy,3109528-4,Helsinki,Osakeyhtiö (OY),"Kiskontie, 5, 00280, HELSINGFORS",2020-01-13
Lejon Capital Oy,3109534-8,Helsinki,Osakeyhtiö (OY),"Koillisväylä, 11, 00200, HELSINGFORS",2020-01-21
Kulma 4 Oy,3109557-5,Helsinki,Osakeyhtiö (OY),"Sibeliuksenkatu, 4, 00260, HELSINGFORS",2020-01-13
Tikkurilan Keskustakorttelin Pysäköinti Oy,3109666-6,Helsinki,Osakeyhtiö (OY),"Bulevardi, 3, 00120, HELSINGFORS",2020-02-06
Las WGS Oy,3109705-2,Helsinki,Osakeyhtiö (OY),"Viides linja, 8, 00530, HELSINGFORS",2020-01-14
SM Capital Oy,3109715-9,Helsinki,Osakeyhtiö (OY),"Keskuskatu, 1, 00100, HELSINGFORS",2020-01-14
KL. SAVE Oy,3109721-2,Helsinki,Osakeyhtiö (OY),"Elontie, 122, 00660, HELSINGFORS",2020-01-14
Huisi Business Oy,3109745-8,Helsinki,Osakeyhtiö (OY),"Yhdyskunnantie, 43, 00680, HELSINGFORS",2020-01-27
Mr.Pezzie Holding Oy,3109753-8,Helsinki,Osakeyhtiö (OY),"Parrulaituri, 16, 00540, HELSINGFORS",2020-02-27
JWD Palvelut Etelä Oy,3109796-8,Helsinki,Osakeyhtiö (OY),"Malminkaari, 9, 00700, HELSINGFORS",2020-01-14
VitaSpe Oy,3109813-5,Helsinki,Osakeyhtiö (OY),"Jaakonkatu, 3, 00100, HELSINGFORS",2020-01-14
TKR Management Oy,3109826-6,Helsinki,Osakeyhtiö (OY),"Pilkkikatu, 1, 00580, HELSINGFORS",2020-01-20
TES-Autopalvelu.Oy,3109863-7,Helsinki,Osakeyhtiö (OY),"Kaarenjalka, 5a, 00940, HELSINGFORS",2020-01-14
SUN-RAKENNUS Oy,3109864-5,Helsinki,Osakeyhtiö (OY),"Kaarenjalka, 5a, 00940, HELSINGFORS",2020-01-17
Sinal Invest Oy,3109872-5,Helsinki,Osakeyhtiö (OY),"Tilkankatu, 39, 00300, HELSINGFORS",2020-02-06
Reilun Pertin Palvelut Oy,3109935-7,Helsinki,Osakeyhtiö (OY),"Maisemamaalauksenkatu, 1, 00430, HELSINGFORS",2020-01-10
Eventer Media Oy,3109960-5,Helsinki,Osakeyhtiö (OY),"Simonkatu, 9, 00100, HELSINGFORS",2020-01-16
TAXI 675 HELSINKI OY,3109965-6,Helsinki,Osakeyhtiö (OY),"Salpausseläntie, 3, 00710, HELSINGFORS",2020-01-15
MWTP Solutions Oy,3110000-4,Helsinki,Osakeyhtiö (OY),"Svinhufvudintie, 6, 00570, HELSINGFORS",2020-02-10
Worldwide Network Oy,3110063-7,Helsinki,Osakeyhtiö (OY),"Laivanvarustajankatu, 9, 00140, HELSINGFORS",2020-02-28
Engineroom7 Oy,3110065-3,Helsinki,Osakeyhtiö (OY),"Elontie, 42, 00660, HELSINGFORS",2020-02-05
Melissa kahvila Oy,3110072-5,Helsinki,Osakeyhtiö (OY),"Hämeentie, 111, 00560, HELSINGFORS",2020-01-15
Suomen Huoltoraportti Oy,3110103-1,Helsinki,Osakeyhtiö (OY),"papinmäentie, 46, 00630, HELSINGFORS",2020-01-15
Koli Homes Oy,3110124-2,Helsinki,Osakeyhtiö (OY),"Pajalahdentie, 21, 00200, HELSINGFORS",2020-01-15
Gatimutic Oy,3110136-5,Helsinki,Osakeyhtiö (OY),"Tilanhoitajankaari, 11, 00790, HELSINGFORS",2020-01-15
Aleksefo Oy,3110153-3,Helsinki,Osakeyhtiö (OY),"Fredikanterassi, 7, 00520, HELSINGFORS",2020-01-16
DPY TRADING OY,3110156-8,Helsinki,Osakeyhtiö (OY),"Komeetankatu, 1, 02210, ESBO",2020-01-16
Finlandia Benefit Program Oy,3110194-7,Helsinki,Osakeyhtiö (OY),"Eteläranta, 20, 00130, HELSINGFORS",2020-02-07
Lakiasiaintoimisto Lawely Oy,3110195-5,Helsinki,Osakeyhtiö (OY),"Hollantilaisentie, 36, 00330, HELSINGFORS",2020-02-07
Finlandia Life Oy,3110196-3,Helsinki,Osakeyhtiö (OY),"Eteläranta, 20, 00130, HELSINGFORS",2020-02-07
Jaeger Front Oy,3110244-8,Helsinki,Osakeyhtiö (OY),"Erottajankatu, 5, 00130, HELSINGFORS",2020-02-11
Healthcare Staffing Solutions Oy,3110245-6,Helsinki,Osakeyhtiö (OY),"Arkadiankatu, 6, 00100, HELSINGFORS",2020-01-27
AIDesign Oy,3110317-6,Helsinki,Osakeyhtiö (OY),"Fredrikinkatu, 58, 00100, HELSINGFORS",2020-02-25
ForSolar Oy,3110357-1,Helsinki,Osakeyhtiö (OY),"Erottajankatu, 5, 00130, HELSINGFORS",2020-01-22
Happiness In A Bowl Oy,3110371-5,Helsinki,Osakeyhtiö (OY),"Hitsaajankatu, 4, 00810, HELSINGFORS",2020-01-17
Upward Games Oy,3110372-3,Helsinki,Osakeyhtiö (OY),"Teollisuuskatu, 30, 00520, HELSINGFORS",2020-01-17
Käyttis Oy,3110409-9,Helsinki,Osakeyhtiö (OY),"Kontulankuja, 5, 00940, HELSINGFORS",2020-01-17
Studio Be U Oy,3110420-8,Helsinki,Osakeyhtiö (OY),"Ilkantie, 13, 00400, HELSINGFORS",2020-01-14
Nordic ECO-Innovation Oy,3110427-5,Helsinki,Osakeyhtiö (OY),"Lapinrinne, 4, 00180, HELSINGFORS",2020-01-16
Jalmafi Oy,3110429-1,Helsinki,Osakeyhtiö (OY),"Pietarinkatu, 5, 00140, HELSINGFORS",2020-01-21
Jumbo Bus Oy,3110431-2,Helsinki,Osakeyhtiö (OY),"Purjetie, 1, 00960, HELSINGFORS",2020-02-14
TMB Invest Oy,3110450-7,Helsinki,Osakeyhtiö (OY),"Kerttusentie, 10, 00780, HELSINGFORS",2020-01-15
Superspiders Oy,3110488-1,Helsinki,Osakeyhtiö (OY),"Keinutie, 9, 00940, HELSINGFORS",2020-01-16
Dynrak Oy,3110528-6,Helsinki,Osakeyhtiö (OY),"Adolf Lindforsin tie, 5, 00400, HELSINGFORS",2020-01-17
Pro MD Ikkunakalvotus Oy,3110531-5,Helsinki,Osakeyhtiö (OY),"Mannerheimintie, 51, 00250, HELSINGFORS",2020-01-17
Undoink Oy,3110560-6,Helsinki,Osakeyhtiö (OY),"Sotungintie, 340, 00890, HELSINGFORS",2020-01-17
Finmax Oy,3110565-7,Helsinki,Osakeyhtiö (OY),"Rattitie, 1, 00770, HELSINGFORS",2020-01-17
Elmon Jäähalli Oy,3110581-7,Helsinki,Osakeyhtiö (OY),"Ulvilantie, 27, 00350, HELSINGFORS",2020-01-17
CaroDine Oy,3110597-2,Helsinki,Osakeyhtiö (OY),"Laivurinkatu, 13, 00150, HELSINGFORS",2020-01-17
Lonka-yhtiöt Oy,3110611-5,Helsinki,Osakeyhtiö (OY),"Jollaksentie, 60, 00850, HELSINGFORS",2020-01-17
Pelkonen & Pelgonen Partnering Oy,3110613-1,Helsinki,Osakeyhtiö (OY),"Vuorimiehenkatu, 29, 00140, HELSINGFORS",2020-01-17
Techno Beat Oy,3110751-3,Helsinki,Osakeyhtiö (OY),"Meritullinkatu, 11, 00170, HELSINGFORS",2020-02-18
OLAV & OLAV Oy,3110752-1,Helsinki,Osakeyhtiö (OY),"Meritullinkatu, 11, 00170, HELSINGFORS",2020-02-11
Luuna Oy,3110755-6,Helsinki,Osakeyhtiö (OY),"Munkkisaarenkatu, 10, 00150, HELSINGFORS",2020-02-11
KuivausTaxi Oy,3110781-2,Helsinki,Osakeyhtiö (OY),"Höyläämötie, 1, 00380, HELSINGFORS",2020-01-17
Biorunner Oy,3110792-7,Helsinki,Osakeyhtiö (OY),"Rahakamarinportti, 3, 00240, HELSINGFORS",2020-02-11
Viet Street Food Oy,3110845-2,Helsinki,Osakeyhtiö (OY),"Fredriksgatan, 30, 00120, HELSINGFORS",2020-03-27
Spruce & Hill Holdings Oy,3110890-3,Helsinki,Osakeyhtiö (OY),"Mannerheimintie, 20, 00100, HELSINGFORS",2020-02-12
Sasu Capital Oy,3110909-2,Helsinki,Osakeyhtiö (OY),"Aittatie, 20, 00390, HELSINGFORS",2020-01-20
Timaski Oy,3110911-3,Helsinki,Osakeyhtiö (OY),"Albertinkatu, 38, 00180, HELSINGFORS",2020-01-28
Brain Laundry Oy,3110932-4,Helsinki,Osakeyhtiö (OY),"Posliinikatu, 3, 00560, HELSINGFORS",2020-01-22
Veloce Capital Oy,3110946-3,Helsinki,Osakeyhtiö (OY),"Kolsarintie, 1, 00390, HELSINGFORS",2020-02-04
PROextra Sales Oy,3110960-7,Helsinki,Osakeyhtiö (OY),"Torivoudintie, 12, 00640, HELSINGFORS",2020-02-03
Pole Star Advisory Oy,3110962-3,Helsinki,Osakeyhtiö (OY),"Kalliolinnantie, 7, 00140, HELSINGFORS",2020-01-20
2 Kind Minds Oy,3110973-8,Helsinki,Osakeyhtiö (OY),"Pohjoinen Hesperiankatu, 3, 00260, HELSINGFORS",2020-02-25
Onyx Finland 2019 B Bidco III Oy,3111025-3,Helsinki,Osakeyhtiö (OY),"00101, HELSINGFORS",2020-01-17
Onyx Finland 2019 B Bidco IV Oy,3111026-1,Helsinki,Osakeyhtiö (OY),"00101, HELSINGFORS",2020-01-17
Serdar Simsek Oy,3111076-3,Helsinki,Osakeyhtiö (OY),"Vironkatu, 11, 00170, HELSINGFORS",2020-01-29
LuxDecor Oy,3111100-2,Helsinki,Osakeyhtiö (OY),"Hämeentie, 19, 00500, HELSINGFORS",2020-02-03
PajaBoost Oy,3111104-5,Helsinki,Osakeyhtiö (OY),"Töölönkatu, 54, 00250, HELSINGFORS",2020-01-20
Medivida Hoiva Oy,3111137-9,Helsinki,Osakeyhtiö (OY),"Nuijamiestentie, 3, 00400, HELSINGFORS",2020-01-21
Sahar Beauty & Hair Oy,3111163-5,Helsinki,Osakeyhtiö (OY),"Atlantinkatu, 13, 00220, HELSINGFORS",2020-02-18
Oxkix Oy,3111172-3,Helsinki,Osakeyhtiö (OY),"porslahdentie, 24, 00980, HELSINGFORS",2020-02-06
SOL Kiinteistöpalvelut Oy,3111175-8,Helsinki,Osakeyhtiö (OY),"Vanha talvitie, 19, 00580, HELSINGFORS",2020-05-04
Yellow Film International Oy,3111210-1,Helsinki,Osakeyhtiö (OY),"Hermannin rantatie, 10, 00580, HELSINGFORS",2020-01-17
Cab Team Kamppi Oy,3111227-5,Helsinki,Osakeyhtiö (OY),"Klaneettitie, 13, 00420, HELSINGFORS",2020-01-20
Volodyne EU Oy,3111234-7,Helsinki,Osakeyhtiö (OY),"Pietarinkatu, 18, 00140, HELSINGFORS",2020-01-20
Oskun kumi ja rengas Oy,3111260-3,Helsinki,Osakeyhtiö (OY),"Tähteläntie, 48, 10210, INGÅ",2020-01-20
Le Grenier Oy,3111286-5,Helsinki,Osakeyhtiö (OY),"Pihlajatie, 8, 00270, HELSINGFORS",2020-01-21
SLH-Kiinteistötekniikka Oy,3111290-2,Helsinki,Osakeyhtiö (OY),"Länsirinnetie, 15, 00730, HELSINGFORS",2020-01-22
SparrkyWorldView Oy,3111319-8,Helsinki,Osakeyhtiö (OY),"00101, HELSINGFORS",2020-01-23
Ropaset Oy,3111328-6,Helsinki,Osakeyhtiö (OY),"Järkälekuja, 1, 00940, HELSINGFORS",2020-01-23
M4 Invest Oy,3111331-5,Helsinki,Osakeyhtiö (OY),"Runeberginkatu, 28, 00100, HELSINGFORS",2020-02-17
Pexit Oy,3111332-3,Helsinki,Osakeyhtiö (OY),"Saukonpaadenranta, 20, 00180, HELSINGFORS",2020-03-26
Anne-Liv Oy,3111376-1,Helsinki,Osakeyhtiö (OY),"Ritokalliontie, 8-16, 00330, HELSINGFORS",2020-01-22
Venture Adventure Oy,3111460-9,Helsinki,Osakeyhtiö (OY),"Meritullinkatu, 11, 00170, HELSINGFORS",2020-02-17
Nord LKV Oy,3111503-8,Helsinki,Osakeyhtiö (OY),"Bulevardi, 13, 00120, HELSINGFORS",2020-02-11
Evli Infrastructure I GP Oy,3111511-8,Helsinki,Osakeyhtiö (OY),"00101, HELSINGFORS",2020-01-20
Evli Infrastructure Partners Oy,3111516-9,Helsinki,Osakeyhtiö (OY),"00101, HELSINGFORS",2020-01-20
GESTURUM OY,3111521-4,Helsinki,Osakeyhtiö (OY),"Pohjantähdentie, 2, 00740, HELSINGFORS",2020-01-28
Vastaamon Henkilöstöosakkaat Oy,3111540-9,Helsinki,Osakeyhtiö (OY),"Keskuskatu, 1, 00100, HELSINGFORS",2020-01-29
Finstydi Oy,3111549-2,Helsinki,Osakeyhtiö (OY),"Osuuskunnantie, 46, 00660, HELSINGFORS",2020-01-21
As Oy Vivada Helsinki 4,3111556-4,Helsinki,Osakeyhtiö (OY),"Valimotie, 9-11, 00380, HELSINGFORS",2020-06-30
As Oy Vivada Helsinki 7,3111560-1,Helsinki,Osakeyhtiö (OY),"Valimotie, 9-11, 00380, HELSINGFORS",2020-06-30
Arctic N67 Oy Ltd,3111607-3,Helsinki,Osakeyhtiö (OY),"Lönnrotinkatu, 25, 00180, HELSINGFORS",2020-02-04
Jawadi Food Oy,3111620-9,Helsinki,Osakeyhtiö (OY),"Siltasaarenkatu, 11, 00530, HELSINGFORS",2020-01-21
PM Laaturakennus Oy,3111621-7,Helsinki,Osakeyhtiö (OY),"siltakyläntie, 4, 00740, HELSINGFORS",2020-01-21
Insulanova Capital Ab,3111690-3,Helsinki,Osakeyhtiö (OY),"Mannerheimvägen, 18, 00100, HELSINGFORS",2020-02-18
Mäkelänkatu 91 Holding Oy,3111722-8,Helsinki,Osakeyhtiö (OY),"00101, HELSINGFORS",2020-01-17
Toisin Oy,3111761-5,Helsinki,Osakeyhtiö (OY),"Välimerenkatu, 20, 00220, HELSINGFORS",2020-01-23
Saumaten Oy,3111813-2,Helsinki,Osakeyhtiö (OY),"Lyhtytie, 13, 00750, HELSINGFORS",2020-01-21
Fysiikkaterapia Oy,3111872-2,Helsinki,Osakeyhtiö (OY),"Pasilankatu, 17, 00520, HELSINGFORS",2020-01-22
Interior Design Seija Strand Oy,3111897-6,Helsinki,Osakeyhtiö (OY),"Huopalahdentie, 24, 00350, HELSINGFORS",2020-02-03
Director's Guild Oy,3111911-9,Helsinki,Osakeyhtiö (OY),"Tehtaankatu, 27-29, 00150, HELSINGFORS",2020-02-18
HANSA HR2 Marina Helsinki GP Oy,3111919-4,Helsinki,Osakeyhtiö (OY),"Atomitie, 2, 00370, HELSINGFORS",2020-01-20
Coded Devices Oy,3111949-3,Helsinki,Osakeyhtiö (OY),"Palkkatilankatu, 7, 00240, HELSINGFORS",2020-01-22
HakaTaxit Oy,3111956-5,Helsinki,Osakeyhtiö (OY),"Harakkamyllyntie, 1, 00920, HELSINGFORS",2020-01-22
L&L Dining Oy,3111963-7,Helsinki,Osakeyhtiö (OY),"Kapteeninkatu, 24, 00140, HELSINGFORS",2020-01-22
The Format Oy,3111964-5,Helsinki,Osakeyhtiö (OY),"Paasivaaranpolku, 4, 00810, HELSINGFORS",2020-01-22
Inkallio Oy,3111973-3,Helsinki,Osakeyhtiö (OY),"Porthaninkatu, 7, 00530, HELSINGFORS",2020-01-22
Falck Equipment Ab,3111986-4,Helsinki,Osakeyhtiö (OY),"Skatuddsgatan, 3, 00160, HELSINGFORS",2020-01-27
Funiu Oy,3112000-5,Helsinki,Osakeyhtiö (OY),"meritullinkatu, 5, 00170, HELSINGFORS",2020-01-22
Brightly Works Oy,3112056-6,Helsinki,Osakeyhtiö (OY),"Pohjoisesplanadi, 37, 00100, HELSINGFORS",2020-01-24
Gastrosurgery Kairaluoma Oy,3112090-2,Helsinki,Osakeyhtiö (OY),"Mannerheimintie, 94, 00250, HELSINGFORS",2020-01-30
INFINITY CONSULTING OY,3112132-3,Helsinki,Osakeyhtiö (OY),"Sirkkalanmäki, 43, 00760, HELSINGFORS",2020-03-09
Gal Taksipalvelu Oy,3112158-5,Helsinki,Osakeyhtiö (OY),"Laakavuorenkuja, 2, 00970, HELSINGFORS",2020-03-11
Pohjoismainen Laituri ja Mökki Oy,3112164-9,Helsinki,Osakeyhtiö (OY),"Humalniementie, 10, 00840, HELSINGFORS",2020-02-18
2020 Group Oy,3112168-1,Helsinki,Osakeyhtiö (OY),"Autotallintie, 19, 00770, HELSINGFORS",2020-01-22
Flowmer Oy,3112173-7,Helsinki,Osakeyhtiö (OY),"Rastilantie, 16, 00980, HELSINGFORS",2020-01-23
Reimacare Oy,3112203-5,Helsinki,Osakeyhtiö (OY),"Vanha Rajatie, 36, 00890, HELSINGFORS",2020-01-22
Bulle Holding Oy,3112211-5,Helsinki,Osakeyhtiö (OY),"Kaljaasi Auroran kuja, 6, 00540, HELSINGFORS",2020-01-23
Hillfort Oy,3112213-1,Helsinki,Osakeyhtiö (OY),"Sauramatie, 6, 00950, HELSINGFORS",2020-01-23
Aarni Kasvu Oy,3112221-1,Helsinki,Osakeyhtiö (OY),"Mikonkatu, 18, 00100, HELSINGFORS",2020-03-31
Suukirurgipalvelu Peter Jungell Oy,3112247-3,Helsinki,Osakeyhtiö (OY),"Juhani Ahon tie, 8, 00150, HELSINGFORS",2020-01-22
Fortune Falcon Holding Oy,3112264-1,Helsinki,Osakeyhtiö (OY),"Eteläesplanadi, 12, 00130, HELSINGFORS",2020-01-29
Eero Lehtimäki Oy,3112269-2,Helsinki,Osakeyhtiö (OY),"Pajalahdentie, 11, 00200, HELSINGFORS",2020-01-22
Evexia Oy,3112305-4,Helsinki,Osakeyhtiö (OY),"Katajaharjuntie, 21, 00200, HELSINGFORS",2020-01-23
Healand Oy,3112330-2,Helsinki,Osakeyhtiö (OY),"Fredrikinkatu, 62, 00100, HELSINGFORS",2020-01-23
Joycode Oy,3112340-9,Helsinki,Osakeyhtiö (OY),"Ripusuontie, 38, 00660, HELSINGFORS",2020-01-23
Puissan Holding Oy,3112354-8,Helsinki,Osakeyhtiö (OY),"Svinhufvudintie, 13, 00570, HELSINGFORS",2020-02-12
KRM FOOD OY,3112360-1,Helsinki,Osakeyhtiö (OY),"TULPPATIE, 1, 00880, HELSINGFORS",2020-01-31
Ahlgren Law Oy,3112368-7,Helsinki,Osakeyhtiö (OY),"Kolmas linja, 31, 00530, HELSINGFORS",2020-01-24
MYOGA Oy,3112373-2,Helsinki,Osakeyhtiö (OY),"Heino Kasken katu, 4, 00180, HELSINGFORS",2020-01-30
Bayes Helsinki Oy,3112377-5,Helsinki,Osakeyhtiö (OY),"Hämeentie, 33, 00500, HELSINGFORS",2020-01-24
chenxingh oy,3112395-1,Helsinki,Osakeyhtiö (OY),"Malminkaari, 13-17, 00700, HELSINGFORS",2020-01-24
BLCK Capital Oy,3112398-6,Helsinki,Osakeyhtiö (OY),"Telkkäkuja, 4, 00200, HELSINGFORS",2020-02-17
VRTrauma Oy,3112413-7,Helsinki,Osakeyhtiö (OY),"Matkamiehentie, 12, 00320, HELSINGFORS",2020-01-21
Reventure Homes Oy,3112440-1,Helsinki,Osakeyhtiö (OY),"Johanneksenrinne, 1, 00120, HELSINGFORS",2020-01-22
Elämys Ski & Active Oy,3112600-1,Helsinki,Osakeyhtiö (OY),"Fabianinkatu, 4, 00130, HELSINGFORS",2020-02-20
Cervus Capital Holding I Oy,3112610-8,Helsinki,Osakeyhtiö (OY),"Fabianinkatu, 4, 00130, HELSINGFORS",2020-02-20
Forward Forever Oy,3112613-2,Helsinki,Osakeyhtiö (OY),"Urho Kekkosen katu, 2, 00100, HELSINGFORS",2020-01-31
CITOP-IOT OY,3112655-4,Helsinki,Osakeyhtiö (OY),"Kaarelantie, 29, 00430, HELSINGFORS",2020-02-12
Left Bank Holding Oy,3112675-7,Helsinki,Osakeyhtiö (OY),"Kalevankatu, 16, 00100, HELSINGFORS",2020-01-30
Fundek Oy,3112692-5,Helsinki,Osakeyhtiö (OY),"Aleksisi Kiven katu, 31, 00520, HELSINGFORS",2020-03-02
Fortunae Felices Oy,3112723-1,Helsinki,Osakeyhtiö (OY),"Kerttusentie, 10, 00780, HELSINGFORS",2020-01-27
Flea Second Hand Oy,3112738-9,Helsinki,Osakeyhtiö (OY),"Iso Roobertinkatu, 11, 00120, HELSINGFORS",2020-01-29
NEABEC Consulting Oy,3112743-4,Helsinki,Osakeyhtiö (OY),"Niittaajankatu, 5, 00810, HELSINGFORS",2020-01-27
Token Terminal Oy,3112751-4,Helsinki,Osakeyhtiö (OY),"Pieni Roobertinkatu, 9, 00130, HELSINGFORS",2020-01-27
Rare Breed Oy,3112755-7,Helsinki,Osakeyhtiö (OY),"Kapteeninkatu, 7, 00140, HELSINGFORS",2020-01-27
Lyra palvelut Oy,3112789-9,Helsinki,Osakeyhtiö (OY),"Luoteisväylä, 14, 00200, HELSINGFORS",2020-01-27
Availab Palvelut Oy,3112805-8,Helsinki,Osakeyhtiö (OY),"Läkkisepäntie, 22, 00620, HELSINGFORS",2020-02-17
Sydänlammi Oy,3112808-2,Helsinki,Osakeyhtiö (OY),"Mäkitorpantie, 17, 00640, HELSINGFORS",2020-01-27
CMGL Invest Ab,3112874-4,Helsinki,Osakeyhtiö (OY),"Lapinrinne, 2, 00180, HELSINGFORS",2020-01-29
HeroDry Oy,3112886-7,Helsinki,Osakeyhtiö (OY),"Kunnalliskodintie, 6, 00600, HELSINGFORS",2020-01-27
AriHimma Oy,3112894-7,Helsinki,Osakeyhtiö (OY),"Dagmarinkatu, 14, 00100, HELSINGFORS",2020-01-24
Kiinteistö Oy Kankaanpään Havu,3112908-5,Helsinki,Osakeyhtiö (OY),"Firdonkatu, 2, 00520, HELSINGFORS",2020-01-24
Arkadics Ltd Oy,3112974-7,Helsinki,Osakeyhtiö (OY),"Minna Canthin Katu, 24, 00250, HELSINGFORS",2020-01-27
Aaroshi & Adyan Taksipalvelu Oy,3112992-3,Helsinki,Osakeyhtiö (OY),"Alakiventie, 4, 00920, HELSINGFORS",2020-01-27
STEEL COAST Oy,3113010-7,Helsinki,Osakeyhtiö (OY),"Kaukopääntie, 4, 00950, HELSINGFORS",2020-02-05
Jonalvin Oy,3113012-3,Helsinki,Osakeyhtiö (OY),"Mäntytie, 4, 00270, HELSINGFORS",2020-01-27
Misanto Media Oy,3113042-2,Helsinki,Osakeyhtiö (OY),"Yrjönkatu, 1, 00120, HELSINGFORS",2020-01-27
Sisustustirehtööri Oy,3113052-9,Helsinki,Osakeyhtiö (OY),"Viipurinkatu, 12, 00510, HELSINGFORS",2020-01-27
Solid IT Finland Oy,3113093-2,Helsinki,Osakeyhtiö (OY),"Hankasuontie, 8, 00390, HELSINGFORS",2020-01-27
Art Of Ground Games Oy,3113108-9,Helsinki,Osakeyhtiö (OY),"Erottajankatu, 11, 00130, HELSINGFORS",2020-01-27
Rakennus ja puutyö Mäklin Oy,3113116-9,Helsinki,Osakeyhtiö (OY),"Punttikuja, 8, 00730, HELSINGFORS",2020-02-05
Inspekt Technologies Oy,3113127-3,Helsinki,Osakeyhtiö (OY),"Länsisatamankatu, 37, 00220, HELSINGFORS",2020-01-27
Yrsa-Maria Oy,3113151-3,Helsinki,Osakeyhtiö (OY),"Hämeentie, 70, 00550, HELSINGFORS",2020-01-28
Villerk Consulting Oy,3113163-6,Helsinki,Osakeyhtiö (OY),"Hela-aukio, 3, 00700, HELSINGFORS",2020-01-28
TGN Holding Oy,3113176-7,Helsinki,Osakeyhtiö (OY),"Mechelininkatu, 17, 00100, HELSINGFORS",2020-02-18
JulVerInvest Oy,3113219-6,Helsinki,Osakeyhtiö (OY),"Ruoholahdenkatu, 10, 00180, HELSINGFORS",2020-01-24
M.J. Linkoaho Oy,3113263-9,Helsinki,Osakeyhtiö (OY),"Haarniskatie, 12, 00910, HELSINGFORS",2020-01-24
Synergy Company International Oy,3113282-3,Helsinki,Osakeyhtiö (OY),"Haapaniemenkatu, 16, 00530, HELSINGFORS",2020-02-05
Janiverse Oy,3113328-7,Helsinki,Osakeyhtiö (OY),"Laippatie, 3, 00880, HELSINGFORS",2020-01-28
Moalim Henkilöstöpalvelu Oy,3113341-2,Helsinki,Osakeyhtiö (OY),"Alhokuja, 8, 00780, HELSINGFORS",2020-01-28
Pinecode: Solutions & Consulting Oy Ab,3113343-9,Helsinki,Osakeyhtiö (OY),"Stenbäcksgatan, 8, 00250, HELSINGFORS",2020-01-28
Vinculumgrowth Oy,3113347-1,Helsinki,Osakeyhtiö (OY),"Ensi linja, 1, 00530, HELSINGFORS",2020-01-29
Tartine Foods Oy,3113387-7,Helsinki,Osakeyhtiö (OY),"Alppikatu, 13, 00530, HELSINGFORS",2020-01-28
Resulta CFO-Palvelut Oy,3113388-5,Helsinki,Osakeyhtiö (OY),"Haapalahdenkatu, 4, 00300, HELSINGFORS",2020-01-30
TUSMO OY,3113417-5,Helsinki,Osakeyhtiö (OY),"Olavinlinnantie, 2a, 00900, HELSINGFORS",2020-01-28
Constlet Oy,3113450-3,Helsinki,Osakeyhtiö (OY),"Mäntytie, 15, 00270, HELSINGFORS",2020-01-28
Hovilääkäri Oy,3113467-7,Helsinki,Osakeyhtiö (OY),"Papinmäentie, 29, 00630, HELSINGFORS",2020-01-28
Meetu Holding Oy,3113484-5,Helsinki,Osakeyhtiö (OY),"Saarnaajantie, 13, 00660, HELSINGFORS",2020-03-11
Kymenlaakson Laatupäivystys Oy,3113486-1,Helsinki,Osakeyhtiö (OY),"Malminkaari, 23, 00700, HELSINGFORS",2020-02-28
Valokuitu Kotiin Holding 2 Oy,3113534-6,Helsinki,Osakeyhtiö (OY),"Valimotie, 21, 00380, HELSINGFORS",2020-01-24
Suomen Laatupäivystys Oy,3113538-9,Helsinki,Osakeyhtiö (OY),"Malminkaari, 23, 00700, HELSINGFORS",2020-02-28
Ainavihanta Osakeyhtiö,3113546-9,Helsinki,Osakeyhtiö (OY),"Viipurinkatu, 14, 00510, HELSINGFORS",2020-01-28
Eri Design Oy,3113658-4,Helsinki,Osakeyhtiö (OY),"Ruonasalmentie, 17, 00830, HELSINGFORS",2020-01-28
Nohata Oy,3113681-6,Helsinki,Osakeyhtiö (OY),"Kiskontie, 15a, 00280, HELSINGFORS",2020-01-24
Landlords Oy,3113690-4,Helsinki,Osakeyhtiö (OY),"Tupavuori, 3, 00570, HELSINGFORS",2020-02-14
